,epoch,loss,accuracy,average_loss,average_accuracy,best_particle_hidden_num,best_particle_hidden_dim,best_particle_lr
0,0.0,1.7948408285776773,0.2916666666666667,1.8236542129516597,0.20555555555555557,5.0,20.0,0.0037
1,1.0,1.9354500929514566,0.31666666666666665,1.881933511628045,0.19888888888888892,7.0,45.0,0.00840710252806829
2,2.0,1.8643600304921468,0.2833333333333333,1.8802145391040381,0.19333333333333336,6.0,35.0,0.005474148285190081
3,3.0,1.7707549174626669,0.2916666666666667,1.8171323733859597,0.205,4.0,26.0,0.0030792810513206696
4,4.0,1.9111029307047527,0.24166666666666667,1.8218419509463837,0.17777777777777778,5.0,43.0,0.004025647022107822
5,5.0,1.9479334115982057,0.3,1.835236577987671,0.16555555555555557,7.0,50.0,0.0065494942784399745
6,6.0,1.7756269057591756,0.25,1.833898525238037,0.20722222222222225,3.0,41.0,0.002294426950108855
7,7.0,1.9018031279246013,0.31666666666666665,1.8696732378005982,0.19444444444444445,7.0,40.0,0.010151678386073615
8,8.0,1.8010452508926391,0.3,1.8343419053819443,0.20944444444444443,8.0,28.0,0.005826791379172682
9,9.0,1.783857274055481,0.30833333333333335,1.851469079123603,0.1994444444444445,6.0,41.0,0.0022792508865268654
10,10.0,1.830778455734253,0.2916666666666667,1.8486058505376177,0.22111111111111112,7.0,27.0,0.012881688568509058
11,11.0,1.8861695051193237,0.2916666666666667,1.8777583260006374,0.1716666666666667,8.0,45.0,0.007319885539811312
12,12.0,1.7842646996180216,0.2916666666666667,1.8156540446811253,0.2,7.0,26.0,0.005478174238346203
13,13.0,1.77727259794871,0.275,1.8466312037573915,0.18055555555555552,2.0,40.0,0.0049809190870451145
14,14.0,1.8484840552012125,0.26666666666666666,1.8364876418643528,0.1938888888888889,6.0,43.0,0.002580263830608217
15,15.0,1.9810909748077392,0.2916666666666667,1.8406615437401663,0.2011111111111111,6.0,50.0,0.0043475810957732475
16,16.0,1.7624860286712647,0.31666666666666665,1.83209836324056,0.20388888888888893,4.0,24.0,0.0056967703613325284
17,17.0,1.8279982646306356,0.3,1.8373378160264757,0.21055555555555555,6.0,23.0,0.006413697480173062
18,18.0,1.8412955760955811,0.275,1.8441916635301376,0.1872222222222222,5.0,43.0,0.007670026268458319
19,19.0,1.7811132033665975,0.2833333333333333,1.823282087114122,0.19111111111111118,3.0,45.0,0.00615391319525504
20,20.0,1.7961106141408285,0.26666666666666666,1.8279805448320177,0.20055555555555551,2.0,43.0,0.003995471385994178
21,21.0,1.8595784505208333,0.2833333333333333,1.8149216932720609,0.20444444444444446,10.0,35.0,0.004091109696061236
22,22.0,1.7445721944173178,0.26666666666666666,1.8113814481099446,0.2116666666666667,4.0,14.0,0.005311009678724667
23,23.0,1.883539628982544,0.2833333333333333,1.842510920100742,0.19833333333333336,9.0,37.0,0.006286275617151004
24,24.0,1.7758527596791585,0.2916666666666667,1.8311067808998955,0.19111111111111112,3.0,18.0,0.0046286246888788815
25,25.0,1.8039462407430014,0.25,1.8312000619040596,0.17444444444444449,2.0,27.0,0.007000286410724442
26,26.0,1.930530039469401,0.3,1.8497308646308048,0.175,8.0,50.0,0.005713963067468248
27,27.0,1.849757734934489,0.2916666666666667,1.833942218356662,0.18444444444444444,3.0,39.0,0.010244662045442457
28,28.0,1.8492199897766113,0.2916666666666667,1.8365176004833648,0.21833333333333332,6.0,38.0,0.0014915427802850824
29,29.0,2.1980123281478883,0.3333333333333333,1.8399631139967176,0.19611111111111115,7.0,50.0,0.011655866027929224
30,30.0,1.829058821996053,0.275,1.841173658370972,0.18166666666666667,5.0,27.0,0.005413158136517704
31,31.0,2.1178611596425374,0.30833333333333335,1.840679456392924,0.21666666666666665,4.0,49.0,0.010754457686823963
32,32.0,1.8402278423309326,0.275,1.8331292390823362,0.18722222222222223,8.0,50.0,0.0019677620694255695
33,33.0,1.7927362044652304,0.36666666666666664,1.8413338147269351,0.21111111111111114,8.0,27.0,0.006767610847981912
34,34.0,1.7699559529622395,0.26666666666666666,1.808833440144857,0.20611111111111116,5.0,25.0,0.0016855721485181945
35,35.0,1.7871824423472087,0.2916666666666667,1.8672119781706067,0.21055555555555555,4.0,31.0,0.0032598231308490254
36,36.0,1.9312037309010823,0.25833333333333336,1.850918295118544,0.16611111111111115,6.0,29.0,0.00509290393198039
37,37.0,1.8294379631678264,0.3,1.8209383975134954,0.20055555555555557,5.0,26.0,0.004477715447436906
38,38.0,1.7813122908274333,0.2833333333333333,1.8290185435612996,0.2,2.0,36.0,0.004950756272779702
39,39.0,1.8129077752431233,0.30833333333333335,1.8215189705954657,0.19555555555555557,7.0,20.0,0.010607553338589143
40,40.0,1.8679319779078165,0.2833333333333333,1.8297174522611832,0.19888888888888892,10.0,40.0,0.0018884257606440638
41,41.0,1.7727016925811767,0.26666666666666666,1.8198233800464207,0.18222222222222226,5.0,30.0,0.004248302570370517
42,42.0,1.7842387119928995,0.2916666666666667,1.8514886803097197,0.19111111111111115,6.0,33.0,0.004797678495824527
43,43.0,1.7969316005706788,0.3,1.8469317383236357,0.2155555555555556,3.0,28.0,0.004239916371346665
44,44.0,1.7945318698883057,0.3416666666666667,1.8334802304373845,0.2055555555555556,7.0,33.0,0.0030842222476339894
45,45.0,1.8112079779307046,0.2833333333333333,1.8437950489256119,0.18055555555555552,10.0,42.0,0.002316463829241674
46,46.0,1.8568432013193765,0.275,1.8167851130167645,0.18944444444444444,6.0,12.0,0.007710738720023388
47,47.0,1.7735213359196982,0.3,1.8248740657170615,0.17333333333333334,4.0,35.0,0.004279404733160913
48,48.0,1.8818039576212564,0.30833333333333335,1.8529983462227715,0.21777777777777782,10.0,32.0,0.004424784819077918
49,49.0,1.7861997445424398,0.2916666666666667,1.8730180692672727,0.2,3.0,9.0,0.007798870723853638
50,50.0,1.884238878885905,0.2833333333333333,1.8338958385255602,0.19666666666666668,6.0,23.0,0.006966320297030417
51,51.0,1.7846749067306518,0.2916666666666667,1.8085308021969266,0.18388888888888888,5.0,47.0,0.0014119733578156623
52,52.0,1.7644923369089762,0.2833333333333333,1.8315357955296834,0.17499999999999996,2.0,30.0,0.004896130519625875
53,53.0,1.8325875043869018,0.26666666666666666,1.8195664326349894,0.17833333333333332,7.0,50.0,0.010074293139201832
54,54.0,1.848678429921468,0.2833333333333333,1.8433400710423788,0.18944444444444447,6.0,33.0,0.004539125379059476
55,55.0,1.876727819442749,0.31666666666666665,1.8504875866572061,0.20777777777777776,8.0,47.0,0.006336906680801351
56,56.0,1.8154673099517822,0.275,1.8290258238050674,0.18000000000000005,5.0,28.0,0.004632485789853233
57,57.0,1.7964541117350261,0.31666666666666665,1.8498815324571398,0.18722222222222226,6.0,27.0,0.0029702105736103203
58,58.0,1.917375906308492,0.2833333333333333,1.817363403108385,0.19222222222222227,5.0,31.0,0.0044839930259360046
59,59.0,1.7964545806248984,0.275,1.838997924062941,0.16999999999999998,7.0,33.0,0.0035669733171768306
60,60.0,1.922542651494344,0.2916666666666667,1.8488490544425118,0.20833333333333337,6.0,29.0,0.007037635205113784
61,61.0,1.8262261311213175,0.26666666666666666,1.8652097654342652,0.22055555555555556,4.0,50.0,0.003137527190294658
62,62.0,1.8138882319132488,0.275,1.8155671866734822,0.18388888888888894,6.0,44.0,0.001872563499162537
63,63.0,1.8547428051630657,0.2916666666666667,1.8231292825274996,0.15166666666666667,7.0,46.0,0.007731051896144363
64,64.0,1.8362819035847981,0.325,1.8509032318327163,0.20055555555555563,9.0,28.0,0.005527333174224738
65,65.0,1.7903833389282227,0.2916666666666667,1.8465999264187283,0.20666666666666667,4.0,12.0,0.006374226872956308
66,66.0,1.79716903368632,0.3,1.8020241594314577,0.21111111111111114,4.0,26.0,0.005379501224887781
67,67.0,1.796967363357544,0.30833333333333335,1.841469973458184,0.17555555555555555,2.0,25.0,0.006283941831498153
68,68.0,1.8165893793106078,0.26666666666666666,1.8117995680703058,0.15944444444444447,4.0,48.0,0.004643278209984423
69,69.0,2.0094587484995525,0.26666666666666666,1.8300203132629391,0.19666666666666668,5.0,50.0,0.0053178790926757214
70,70.0,1.9983154614766439,0.3,1.8599316973156401,0.19333333333333333,5.0,39.0,0.01315323579773859
