,epoch,loss,accuracy,average_loss,average_accuracy,best_particle_hidden_num,best_particle_hidden_dim,best_particle_lr
30,30.0,0.11009889096021652,0.836,0.7793547545870145,0.5712666666666667,3.0,23.0,0.0153617511392285
31,31.0,0.2891337275505066,0.822,0.7698655426502228,0.6154666666666666,2.0,14.0,0.0061345664715534085
32,32.0,0.2258654236793518,0.831,0.8206218341986339,0.5834666666666667,3.0,34.0,0.005284302613056585
33,33.0,0.3673553764820099,0.815,0.8996330757935842,0.5069333333333333,3.0,39.0,0.0022068440774821426
34,34.0,0.27362293004989624,0.839,0.832414182027181,0.5722666666666666,3.0,34.0,0.0060841944770602336
35,35.0,0.14905717968940735,0.841,0.8099524478117625,0.5916,2.0,33.0,0.006464490617107142
36,36.0,0.481548547744751,0.827,0.7573669890562693,0.6080666666666666,3.0,23.0,0.0020873045889743605
37,37.0,0.27976858615875244,0.83,0.7033825794855754,0.6221333333333334,3.0,32.0,0.007169656226035897
38,38.0,0.3223394751548767,0.829,0.8844842076301574,0.5169333333333334,2.0,29.0,0.005326964387606751
39,39.0,0.3406111001968384,0.827,0.8277710934480031,0.5913333333333334,2.0,32.0,0.0029083594358860357
40,40.0,0.10419467091560364,0.844,0.8244023541609447,0.5546666666666666,2.0,41.0,0.009916281771235663
41,41.0,0.1137491837143898,0.832,0.9144999966025352,0.4968,2.0,29.0,0.010100035576838877
42,42.0,0.24601919949054718,0.83,0.7582404961188635,0.6085333333333334,3.0,30.0,0.00810951476219973
43,43.0,0.42345696687698364,0.828,0.7951449811458587,0.5928666666666665,2.0,19.0,0.0044845923532967485
44,44.0,0.23684190213680267,0.84,0.809945751229922,0.5509333333333334,2.0,29.0,0.005393613980535929
45,45.0,0.4634266197681427,0.818,0.8638765593369802,0.5246666666666667,2.0,18.0,0.006711868075280359
46,46.0,0.2678617238998413,0.83,0.8176068703333537,0.5280666666666666,2.0,32.0,0.007884643964064535
47,47.0,0.3682321310043335,0.818,0.7374550898869833,0.6161333333333332,4.0,40.0,0.012977025988491972
48,48.0,0.3471096158027649,0.826,0.7499745488166809,0.5897333333333333,2.0,30.0,0.003897255416639867
49,49.0,0.2263948768377304,0.838,0.7656523217757543,0.6070666666666665,2.0,27.0,0.009083021392648136
50,50.0,0.3215717375278473,0.835,0.7815865039825439,0.5867333333333332,2.0,21.0,0.006316098301913593
51,51.0,0.40149250626564026,0.827,0.9200821856657664,0.5175333333333333,3.0,16.0,0.005912162284052209
52,52.0,0.32750260829925537,0.823,0.8323941548665365,0.5848,2.0,13.0,0.00876499379734995
53,53.0,0.11358775198459625,0.828,0.7480102489391963,0.5949333333333333,3.0,39.0,0.01631204363909999
54,54.0,0.10908036679029465,0.832,0.7001155629754067,0.5967999999999999,2.0,32.0,0.009646533230361597
55,55.0,0.23571224510669708,0.839,0.8022123903036118,0.5532,2.0,23.0,0.00927930117665791
56,56.0,0.28799915313720703,0.839,0.8468625803788503,0.5434666666666667,3.0,14.0,0.011560013335203225
57,57.0,0.38850659132003784,0.801,0.892167309919993,0.5138666666666667,6.0,31.0,0.010049348581638935
58,58.0,0.3679005205631256,0.826,0.8705848912398021,0.5710666666666667,2.0,30.0,0.002799661491378361
59,59.0,0.3201703131198883,0.812,0.797144036491712,0.5885333333333335,5.0,49.0,0.0032180728178913803
60,60.0,0.27077099680900574,0.827,0.794554618994395,0.5634,2.0,27.0,0.007675148223829743
61,61.0,0.3246731162071228,0.801,0.803945791721344,0.5646666666666668,5.0,44.0,0.0069649827970323375
62,62.0,0.31039226055145264,0.816,0.8298604597647985,0.581,3.0,35.0,0.004175194806634838
63,63.0,0.2903854548931122,0.83,0.8248353064060211,0.5370666666666667,2.0,37.0,0.0037425723097853684
64,64.0,0.6445295214653015,0.822,0.841561245918274,0.5494666666666668,2.0,31.0,0.0015010815074153684
65,65.0,0.30400800704956055,0.832,0.7423680822054545,0.6103333333333334,2.0,25.0,0.004300009796558568
66,66.0,0.4482669532299042,0.836,0.7102920492490132,0.6528666666666666,2.0,10.0,0.007496277412086073
67,67.0,0.30912524461746216,0.824,0.794780836502711,0.5804000000000001,3.0,34.0,0.006440026521924045
68,68.0,0.3703734874725342,0.83,0.8378372023502986,0.5661333333333334,3.0,25.0,0.00367715567624255
69,69.0,0.3187415599822998,0.829,0.8942227005958557,0.49873333333333325,2.0,40.0,0.004032143257885253
70,70.0,0.2195838987827301,0.837,0.8332065602143606,0.5343999999999999,3.0,50.0,0.0050894901843429735
71,71.0,0.23188874125480652,0.822,0.7650140762329102,0.5468666666666666,5.0,34.0,0.009977564748032157
72,72.0,0.3092437982559204,0.826,0.7208734293778737,0.6324000000000001,4.0,36.0,0.010411719715991146
73,73.0,0.2829614281654358,0.829,0.7496624986330668,0.5965333333333332,4.0,50.0,0.005401979851909785
