,epoch,loss,accuracy,average_loss,average_accuracy,best_particle_hidden_num,best_particle_hidden_dim,best_particle_lr
0,0.0,0.5888685450425597,0.7399103139013453,0.6054025878197052,0.7016442451420031,8.0,15.0,0.0018
1,1.0,0.5692259426074178,0.7354260089686099,0.6037276247424395,0.6893871449925262,7.0,13.0,0.014116720256578638
2,2.0,0.577324191283752,0.7354260089686099,0.6056445414264462,0.7013452914798207,3.0,50.0,0.002499498475708446
3,3.0,0.5724252130953186,0.7354260089686099,0.6241725760190476,0.6648729446935725,5.0,33.0,0.001903690621334186
4,4.0,0.5721792950223914,0.7443946188340808,0.6423510582368647,0.6436472346786248,7.0,17.0,0.005354840903164585
5,5.0,0.5800819124341545,0.7399103139013453,0.6495534845799075,0.6071748878923768,8.0,19.0,0.001880069770902633
6,6.0,0.5707773012965249,0.7354260089686099,0.6335197071323481,0.6493273542600898,5.0,28.0,0.0034736707462716607
7,7.0,0.5740702812447142,0.7488789237668162,0.6159186571435543,0.6914798206278028,6.0,21.0,0.006074694508813903
8,8.0,0.5769677373325878,0.7443946188340808,0.6131053838316457,0.6896860986547085,10.0,43.0,0.006139829726539169
9,9.0,0.5834609625585411,0.7488789237668162,0.6147703932361572,0.6866965620328849,5.0,11.0,0.00844453507043348
10,10.0,0.5747865237997252,0.7443946188340808,0.6127489207304111,0.6893871449925263,6.0,14.0,0.006364785815438704
11,11.0,0.5899507213601083,0.7443946188340808,0.6197712844262744,0.6720478325859492,10.0,11.0,0.00273093993424742
12,12.0,0.574506875378134,0.7354260089686099,0.6417759957156729,0.6382660687593423,9.0,18.0,0.003330103379041766
13,13.0,0.5768299578551219,0.7443946188340808,0.6236039535525311,0.6615844544095666,6.0,13.0,0.002888654532641229
14,14.0,0.5980818033752955,0.7399103139013453,0.6214180956596038,0.6863976083707025,6.0,12.0,0.00865495300035756
15,15.0,0.5754306837582267,0.7309417040358744,0.6514336195405467,0.6400597907324364,7.0,23.0,0.004037921306317179
16,16.0,0.5905357179620341,0.7399103139013453,0.6373252163375263,0.635575485799701,8.0,13.0,0.003478492369129773
17,17.0,0.5826273664765294,0.7443946188340808,0.6308907449690929,0.6594917787742899,10.0,38.0,0.00527281822735293
18,18.0,0.5826029675958403,0.7443946188340808,0.6366034162953296,0.6639760837070254,6.0,20.0,0.005966288748881794
19,19.0,0.572231558673585,0.7443946188340808,0.622721285697056,0.6771300448430495,7.0,16.0,0.00815474446781654
20,20.0,0.6119351288128326,0.7399103139013453,0.6193104191745878,0.6819133034379673,9.0,20.0,0.016010246303437968
21,21.0,0.5777767859232266,0.7488789237668162,0.6172002894906897,0.6837070254110613,7.0,19.0,0.004305782122033521
22,22.0,0.5764239254019186,0.7354260089686099,0.6292482771324648,0.6517189835575485,4.0,50.0,0.001604181706592552
23,23.0,0.5783006786765539,0.7488789237668162,0.6184265219488129,0.6890881913303438,7.0,30.0,0.001703202018742797
24,24.0,0.5787053215129493,0.7488789237668162,0.6175264703675057,0.6801195814648728,6.0,22.0,0.0070960571150190796
25,25.0,0.5900692311637604,0.7443946188340808,0.6203991362688609,0.6801195814648728,4.0,4.0,0.012033999152100301
26,26.0,0.6061576265390678,0.7354260089686099,0.6109169795730545,0.6953662182361736,6.0,5.0,0.01267308611839985
27,27.0,0.5934867383118703,0.7443946188340808,0.6207149056219378,0.6591928251121077,10.0,21.0,0.007108874242946939
28,28.0,0.5705737428814841,0.7354260089686099,0.648951853417495,0.6266068759342303,8.0,50.0,0.002751996865519972
29,29.0,0.5765995025100195,0.7399103139013453,0.6341097982207756,0.6448430493273544,7.0,29.0,0.003379318973741126
30,30.0,0.5882581381519814,0.7443946188340808,0.6056595746889955,0.6834080717488791,6.0,18.0,0.009530723401093897
31,31.0,0.5753599378560156,0.7399103139013453,0.6146589088243932,0.6852017937219732,10.0,50.0,0.003263563944512959
32,32.0,0.5893377116442796,0.7488789237668162,0.6428041876877013,0.6496263079222722,6.0,39.0,0.014536126679848198
33,33.0,0.5741668054875771,0.7354260089686099,0.6535863930690804,0.628101644245142,4.0,16.0,0.006447556583745668
34,34.0,0.580215868126651,0.7399103139013453,0.6165899086069809,0.6840059790732436,6.0,19.0,0.012286820010033212
35,35.0,0.572843099388841,0.7399103139013453,0.6267843177856707,0.6675635276532137,3.0,50.0,0.007044427384480148
36,36.0,0.5853831142588046,0.7488789237668162,0.6274465635396618,0.6756352765321375,6.0,8.0,0.010996201434577317
37,37.0,0.5821307109075812,0.7309417040358744,0.6285190688298601,0.6550074738415546,6.0,19.0,0.0037194919193285917
38,38.0,0.5723951865204782,0.7488789237668162,0.6190063582496615,0.6789237668161436,10.0,15.0,0.008646177188866698
39,39.0,0.5937343573890994,0.7488789237668162,0.6346932573525182,0.6391629297458894,8.0,16.0,0.012989750538969214
40,40.0,0.5769697147099961,0.7443946188340808,0.6277780613022534,0.669357249626308,8.0,32.0,0.004501048149385034
41,41.0,0.5970661300714775,0.7309417040358744,0.6267709584514122,0.6627802690582959,8.0,10.0,0.005272277309563855
42,42.0,0.6055773691746151,0.7174887892376681,0.6271267427546384,0.666068759342302,8.0,12.0,0.005264779875296904
43,43.0,0.5790365651049422,0.7354260089686099,0.6153742651055568,0.6902840059790734,6.0,20.0,0.002583156863287279
44,44.0,0.576593327682649,0.7399103139013453,0.5991081974431538,0.7064275037369208,6.0,50.0,0.004332695320307456
45,45.0,0.5852039715634333,0.7443946188340808,0.6067378625919645,0.6962630792227205,6.0,12.0,0.009583301914845356
46,46.0,0.5713923378375614,0.7399103139013453,0.6243618594334978,0.6717488789237669,7.0,16.0,0.011208865679983714
47,47.0,0.5835377170366022,0.726457399103139,0.630102154688272,0.6382660687593424,6.0,35.0,0.0029737300495299135
48,48.0,0.5979761866176075,0.7309417040358744,0.6271099000946467,0.6615844544095666,6.0,10.0,0.004365808453910405
49,49.0,0.5910699129639185,0.7399103139013453,0.6134129088823036,0.6843049327354259,9.0,10.0,0.006959566567157588
50,50.0,0.5862361681835534,0.7399103139013453,0.6028538337559266,0.7082212257100149,4.0,4.0,0.013394890032735612
51,51.0,0.6232568717858182,0.726457399103139,0.6068142164537547,0.6914798206278028,6.0,11.0,0.003926851430124575
52,52.0,0.580871603948653,0.7399103139013453,0.6234251411417319,0.6576980568011959,6.0,20.0,0.0021583826001426443
53,53.0,0.5920289696064766,0.7443946188340808,0.628122560664321,0.6786248131539613,7.0,20.0,0.010411139403088153
54,54.0,0.5870221217116968,0.7399103139013453,0.6252396398595631,0.6624813153961137,10.0,15.0,0.005351132006868227
55,55.0,0.6034858055713466,0.726457399103139,0.6311496198979193,0.6568011958146488,10.0,22.0,0.0047192760088552695
56,56.0,0.607788884051712,0.757847533632287,0.6102380490623782,0.700747384155456,10.0,18.0,0.01324313202498752
57,57.0,0.5800126400763679,0.7354260089686099,0.621657408673667,0.6816143497757846,8.0,33.0,0.002193408137902234
58,58.0,0.5766978066063783,0.7488789237668162,0.6196482102610783,0.669357249626308,7.0,12.0,0.008257759869914004
59,59.0,0.5974656760425311,0.7174887892376681,0.6183933779619557,0.6633781763826607,6.0,16.0,0.0022088570504361616
60,60.0,0.5779915564263348,0.7399103139013453,0.6229917948377863,0.6753363228699553,4.0,50.0,0.006591044152822363
