,epoch,loss,accuracy,average_loss,average_accuracy,best_particle_hidden_num,best_particle_hidden_dim,best_particle_lr
0,0.0,0.48602017760276794,0.856,1.1429153924187025,0.5575333333333333,4.0,18.0,0.0026
1,1.0,0.13539093732833862,0.836,1.1372037092844645,0.5225333333333334,4.0,26.0,0.016869165213257008
2,2.0,0.040040045976638794,0.83,1.246573422352473,0.4499333333333333,3.0,30.0,0.013417655354784926
3,3.0,0.08734932541847229,0.85,1.2129140676309664,0.4691333333333333,2.0,23.0,0.005088242079769137
4,4.0,0.36231303215026855,0.848,1.4769675304492316,0.3558666666666666,3.0,14.0,0.004333222507550877
5,5.0,0.2608802318572998,0.853,1.539716458817323,0.3827333333333333,2.0,12.0,0.005063999238356624
6,6.0,0.2426462471485138,0.834,1.2728226363658905,0.4784666666666667,4.0,34.0,0.0029462899562490035
7,7.0,0.24730663001537323,0.843,1.1625159805019696,0.5182666666666667,2.0,14.0,0.00573426252260456
8,8.0,0.019432825967669487,0.846,1.3619493791212638,0.4139333333333333,2.0,21.0,0.021426119958496567
9,9.0,0.4462338984012604,0.842,1.4059765875339507,0.45119999999999993,2.0,16.0,0.0017261829511404751
10,10.0,0.15607388317584991,0.844,1.179272386431694,0.47126666666666667,3.0,47.0,0.002785587691181622
11,11.0,0.3083471655845642,0.831,1.250788249572118,0.47333333333333333,5.0,35.0,0.005902076376719348
12,12.0,0.19621823728084564,0.841,1.3262248365208507,0.4480666666666668,4.0,29.0,0.009787192203864573
13,13.0,0.17437177896499634,0.838,1.2972751945257186,0.4374666666666666,4.0,45.0,0.00894881868655289
14,14.0,0.01910712942481041,0.835,1.1217351414263248,0.539,2.0,22.0,0.01604848921787753
15,15.0,0.05254625529050827,0.845,1.2380613461136818,0.4474666666666666,2.0,35.0,0.004510304034541684
16,16.0,0.0653156191110611,0.834,1.2630687763293584,0.4792,2.0,30.0,0.0052692835122610995
17,17.0,0.2554500997066498,0.842,1.2756248573462168,0.45439999999999997,3.0,13.0,0.009261339873942436
18,18.0,0.0303066186606884,0.838,1.4819366303582986,0.35813333333333336,2.0,30.0,0.005980649569239096
19,19.0,0.5009714365005493,0.8,1.438556675116221,0.4314666666666666,6.0,44.0,0.0035253155881975447
20,20.0,0.18427374958992004,0.84,1.2678805767868957,0.4384,2.0,13.0,0.005477909018983019
21,21.0,0.012675514444708824,0.848,1.398776717359821,0.39879999999999993,2.0,30.0,0.011875314730736186
22,22.0,0.20985101163387299,0.856,1.2932962288459142,0.446,2.0,15.0,0.005406609585253132
23,23.0,0.22305333614349365,0.845,1.336869204044342,0.4384,2.0,12.0,0.005415473355092081
